,datetime,cloudliness
0,2016-01-02,1.0
1,2016-01-12,1.0
2,2016-01-19,1.0
3,2016-01-29,1.0
4,2016-02-11,0.844
5,2016-02-18,1.0
6,2016-03-09,1.0
7,2016-03-12,0.0
8,2016-03-19,1.0
9,2016-03-22,1.0
10,2016-03-29,0.999
11,2016-04-01,0.053
12,2016-04-08,0.969
13,2016-04-11,0.0
14,2016-04-11,0.0
15,2016-04-18,1.0
16,2016-04-18,1.0
17,2016-04-21,0.0
18,2016-04-21,0.0
19,2016-04-28,1.0
20,2016-04-28,1.0
21,2016-05-01,1.0
22,2016-05-01,1.0
23,2016-05-08,0.0
24,2016-05-08,0.0
25,2016-05-11,0.102
26,2016-05-11,0.102
27,2016-05-18,1.0
28,2016-05-18,1.0
29,2016-05-21,1.0
30,2016-05-21,1.0
31,2016-05-28,1.0
32,2016-05-28,1.0
33,2016-06-07,0.994
34,2016-06-07,0.994
35,2016-06-10,0.932
36,2016-06-10,0.932
37,2016-06-20,1.0
38,2016-06-20,1.0
39,2016-06-27,1.0
40,2016-06-27,1.0
41,2016-06-30,1.0
42,2016-06-30,1.0
43,2016-07-07,1.0
44,2016-07-10,0.998
45,2016-07-17,1.0
46,2016-07-20,0.0
47,2016-07-27,1.0
48,2016-07-30,1.0
49,2016-08-06,0.959
50,2016-08-09,0.979
51,2016-08-16,0.92
52,2016-08-19,0.698
53,2016-08-19,0.698
54,2016-08-26,0.0
55,2016-08-26,0.0
56,2016-08-29,1.0
57,2016-08-29,1.0
58,2016-09-05,0.876
59,2016-09-05,0.876
60,2016-09-08,0.0
61,2016-09-08,0.0
62,2016-09-15,0.0
63,2016-09-15,0.0
64,2016-09-18,0.999
65,2016-09-18,0.999
66,2016-09-25,0.0
67,2016-09-25,0.0
68,2016-09-28,0.156
69,2016-09-28,0.156
70,2016-10-05,0.078
71,2016-10-05,0.078
72,2016-10-08,1.0
73,2016-10-08,1.0
74,2016-10-15,1.0
75,2016-10-18,1.0
76,2016-10-18,1.0
77,2016-10-25,1.0
78,2016-10-25,1.0
79,2016-10-28,1.0
80,2016-10-28,1.0
81,2016-11-04,1.0
82,2016-11-04,1.0
83,2016-11-07,1.0
84,2016-11-07,1.0
85,2016-11-14,1.0
86,2016-11-14,1.0
87,2016-11-17,1.0
88,2016-11-17,1.0
89,2016-11-24,1.0
90,2016-11-24,1.0
91,2016-11-27,1.0
92,2016-11-27,1.0
93,2016-12-04,0.001
94,2016-12-07,1.0
95,2016-12-14,1.0
96,2016-12-17,1.0
97,2016-12-24,1.0
98,2016-12-27,0.0
99,2017-01-03,1.0
100,2017-01-13,0.466
101,2017-01-16,1.0
102,2017-01-26,0.001
103,2017-02-02,1.0
104,2017-02-05,1.0
105,2017-02-12,1.0
106,2017-02-15,0.0
107,2017-02-22,1.0
108,2017-02-25,1.0
109,2017-03-04,1.0
110,2017-03-07,1.0
111,2017-03-14,1.0
112,2017-03-17,1.0
113,2017-03-24,0.037
114,2017-03-27,0.0
115,2017-04-03,1.0
116,2017-04-06,1.0
117,2017-04-13,0.999
118,2017-04-16,1.0
119,2017-04-23,1.0
120,2017-04-26,0.999
121,2017-05-03,1.0
122,2017-05-06,0.0
123,2017-05-13,1.0
124,2017-05-16,1.0
125,2017-05-23,1.0
126,2017-05-26,0.001
127,2017-06-02,0.79
128,2017-06-05,0.978
129,2017-06-12,1.0
130,2017-06-15,1.0
131,2017-06-22,0.006
132,2017-06-25,1.0
133,2017-06-30,1.0
134,2017-07-02,1.0
135,2017-07-05,1.0
136,2017-07-07,1.0
