,gid,landgebrui,gws_gewas,gewascode,geometry,EOSD_T31UFU_s2,SOSD_T31UFU_s2,SOSD_T31UFU_s1,EOSD_T31UFU_s1
0,3068,Bouwland,"Bieten, suiker-",256,"MULTIPOLYGON (((681389.7778566156 5846343.583479321, 681384.6894718417 5846564.95834203, 681384.3361102864 5846585.17326078, 681384.5716077783 5846606.771766618, 681384.5717860981 5846606.784480362, 681389.1240193584 5846606.873959575, 681394.7869561125 5846345.30721605, 681394.1901807913 5846344.888460371, 681393.5933088387 5846344.469601433, 681392.6394724251 5846344.248021756, 681391.6856326971 5846344.026542031, 681389.7778566156 5846343.583479321)))",,,2023-06-22,2023-10-13
1,10984,Bouwland,Wortelpeterselie,1036,"MULTIPOLYGON (((681625.0861546824 5848377.137197552, 681345.8586143182 5848371.05273127, 681345.302114133 5848394.729004111, 681342.0682579415 5848558.416599911, 681342.0680894536 5848558.427701133, 681341.388390516 5848587.383723289, 681537.3891460791 5848592.683229436, 681537.8202686121 5848563.511101656, 681537.8218696875 5848563.447815879, 681539.1475821044 5848526.529711264, 681539.0998608812 5848515.982242875, 681539.1067794844 5848515.764838805, 681539.1294738054 5848515.548458857, 681539.1677041121 5848515.334295819, 681539.4041138986 5848514.241468957, 681539.4650603187 5848514.006146727, 681539.54492818 5848513.77655591, 681539.6430679894 5848513.55417586, 681539.7589335332 5848513.34038931, 681539.8917720504 5848513.136772235, 681540.0405441958 5848512.944490876, 681540.2045005343 5848512.765021278, 681540.3824084573 5848512.5993230995, 681540.5731286735 5848512.448559277, 681540.7754252661 5848512.313789436, 681540.9879723139 5848512.195770043, 681542.1073498484 5848511.632569247, 681542.3104581003 5848511.539652071, 681542.5199585289 5848511.462156501, 681542.734638449 5848511.400442504, 681542.9532851644 5848511.354870065, 681543.1746893041 5848511.325699218, 681543.3976481319 5848511.312990078, 681545.3000421252 5848511.276096531, 681545.4308112593 5848511.276436195, 681610.4204922135 5848512.849125899, 681623.453945946 5848513.07706964, 681623.5563726134 5848512.975706223, 681623.7476947774 5848512.815856733, 681623.9514829265 5848512.672330969, 681624.1666010811 5848512.546191873, 681624.3914135153 5848512.438485813, 681624.6244043653 5848512.349662768, 681624.8639445425 5848512.280569189, 681625.1083215958 5848512.231548467, 681625.6435446697 5848512.147357575, 681625.7106769413 5848509.158246404, 681625.466518231 5848509.143435113, 681625.2088298092 5848509.105160405, 681624.9553831047 5848509.044612753, 681624.70816055 5848508.962358299, 681624.4690413071 5848508.859059796, 681624.2398079108 5848508.73527674, 681624.0221263401 5848508.592065071, 681623.817659264 5848508.430580675, 681623.6280693475 5848508.251979432, 681623.4546128125 5848508.0576038575, 681623.2986458349 5848507.848799782, 681623.1615079918 5848507.62741279, 681623.0439524329 5848507.394868757, 681622.9471188333 5848507.153006634, 681622.8716471139 5848506.903648775, 681622.8179739749 5848506.648710846, 681622.7867393371 5848506.390015207, 681622.7779734548 5848506.129664151, 681623.2907349884 5848454.494913611, 681623.2913595348 5848454.455009791, 681625.0861546824 5848377.137197552)))",,,2023-08-21,2023-11-27
2,13991,Bouwland,"Groene braak, spontane opkomst",6794,"MULTIPOLYGON (((679639.2610941054 5844227.36690656, 679342.932005914 5844221.108090041, 679342.7989983606 5844226.038878506, 679342.6829266191 5844231.514660158, 679639.0567988557 5844237.476193663, 679639.2610941054 5844227.36690656)))",2023-10-05,2023-07-24,2022-10-15,2023-06-26
3,17049,Bouwland,"Tulp, bloembollen en -knollen",1004,"MULTIPOLYGON (((679911.6024988726 5845098.078864012, 679660.8940180528 5845091.163556331, 679658.7076251656 5845192.505563494, 679658.3153067541 5845219.307274199, 679908.7411633169 5845224.607357077, 679909.2630943479 5845204.494798328, 679910.6171021883 5845145.611682835, 679911.6024988726 5845098.078864012)))",,2023-08-10,2023-03-26,2023-06-30
4,17050,Bouwland,"Tulp, bloembollen en -knollen",1004,"MULTIPOLYGON (((679914.5531988424 5845098.160283885, 679911.6024988726 5845098.078864012, 679910.6171021883 5845145.611682835, 679909.2630943479 5845204.494798328, 679908.7411633169 5845224.607357077, 679910.9643584569 5845224.654426958, 679910.9775328784 5845224.290641996, 679913.2138817948 5845163.18863924, 679913.6165589027 5845145.677210799, 679914.4419640809 5845105.865396022, 679914.5531988424 5845098.160283885)))",,,2023-03-30,2023-06-26
5,20963,Bouwland,"Witlofwortel, productie",2787,"MULTIPOLYGON (((678694.2167864112 5842664.504842008, 678398.2442242061 5842656.133018496, 678398.223947132 5842657.069913294, 678396.2675041026 5842746.593230798, 678395.4313553974 5842783.889079399, 678691.2200639343 5842790.077740917, 678694.2167864112 5842664.504842008)))",,,2023-07-17,2023-11-17
6,22329,Bouwland,"Bieten, suiker-",256,"MULTIPOLYGON (((679397.9707238101 5846379.059688259, 679327.1319825228 5846377.472253728, 679327.1160837411 5846377.471926117, 679321.4899455223 5846377.3158927355, 679314.5946463067 5846681.257960102, 679357.4757641107 5846682.364203516, 679390.3007731829 5846683.0880066315, 679397.9707238101 5846379.059688259)))",,,2023-06-09,2023-12-05
7,44600,Grasland,"Grasland, blijvend",265,"MULTIPOLYGON (((679504.3436163269 5845107.284166251, 679503.3569454545 5845137.902869799, 679502.019471606 5845154.272667687, 679494.8868681999 5845226.770895513, 679601.284265064 5845228.605583867, 679601.7949138047 5845228.622531803, 679605.1488332755 5845112.1635723375, 679596.0068052182 5845110.3263279945, 679593.9849998504 5845110.259227265, 679504.3436163269 5845107.284166251)))",,,2023-04-13,2023-06-30
8,44601,Grasland,"Grasland, blijvend",265,"MULTIPOLYGON (((681888.3396906074 5844070.264334929, 681884.9045888588 5844070.227385663, 681885.214978991 5844071.071702687, 681885.2599174898 5844071.707586843, 681885.307996063 5844072.3996099075, 681884.4497874313 5844073.354738539, 681812.8270017335 5844072.484705418, 681811.3851907059 5844072.467176442, 681733.203439198 5844070.931705669, 681644.4346426468 5844069.309564665, 681566.5260950768 5844067.518407138, 681529.9698815407 5844066.874017377, 681529.9608825679 5844066.873818804, 681455.9266399035 5844065.568860336, 681352.3220785906 5844064.248696996, 681292.136540787 5844062.913321469, 681281.54958287 5844062.8267521635, 681279.7289902526 5844061.83986374, 681250.585262731 5844060.336987463, 681201.2559277802 5844057.792917043, 681201.1120257315 5844053.47248176, 681204.5625294383 5844053.189742959, 681200.4346192452 5844053.441996886, 681200.708095799 5844063.202082038, 681200.9354750335 5844064.039138942, 681202.8021097279 5844070.899273764, 681205.7362700948 5844079.662986342, 681214.9941277851 5844104.383259529, 681216.2629151037 5844105.6555231325, 681216.5635354649 5844106.405255333, 681217.04130633 5844106.43611967, 681217.2553233352 5844106.650649792, 681220.6727780314 5844106.670302107, 681220.7904982427 5844106.677910996, 681253.0395510287 5844106.862668082, 681253.1107543367 5844119.515730279, 681253.8704286369 5844119.599976943, 681254.7633592628 5844119.829732787, 681255.9621196877 5844119.919545249, 681257.1588810893 5844120.009291376, 681263.7143008149 5844120.178807543, 681434.7161385235 5844124.600852813, 681490.9055802209 5844125.965236309, 681584.706744422 5844127.677245064, 681617.4942388209 5844128.665266839, 681682.3061137696 5844129.51530799, 681731.9087449901 5844130.360927007, 681755.4073737445 5844130.840568092, 681807.2989616452 5844132.062337284, 681888.9327949791 5844133.259413432, 681889.6308870083 5844133.269672447, 681889.7788081554 5844129.596303762, 681889.5219318201 5844129.5877790265, 681889.3320232476 5844129.581476689, 681889.2329220738 5844129.540464543, 681888.5423592532 5844129.255084893, 681887.6973834769 5844128.665695806, 681887.1272689628 5844127.361980351, 681887.7796698269 5844086.265169876, 681887.9368588037 5844073.809670274, 681888.0485771853 5844073.398120604, 681888.1899849016 5844071.880870905, 681888.3396906074 5844070.264334929)))",,,2023-02-19,2023-12-02
9,47975,Bouwland,"Tulp, bloembollen en -knollen",1004,"MULTIPOLYGON (((679511.6357265152 5845491.266332903, 679511.2676584924 5845491.258619441, 679505.2652762167 5845491.132944762, 679455.5135472564 5845490.092054471, 679417.8704294703 5845489.182586296, 679411.8019346988 5845701.635213055, 679410.7425062801 5845738.977862769, 679482.3134648601 5845740.658355925, 679573.033226533 5845742.99203514, 679586.9447582242 5845743.110566415, 679589.8076595592 5845743.286638807, 679590.1899981066 5845735.840190869, 679590.3030090074 5845733.638199831, 679592.0085261378 5845673.631262867, 679593.4252965148 5845592.860509821, 679593.6076189738 5845582.465331835, 679593.6906848621 5845577.728704787, 679593.6438127188 5845576.12617484, 679593.430022027 5845575.820497332, 679593.0706473228 5845575.306664091, 679592.0844091321 5845574.873686819, 679567.0801272407 5845574.544087505, 679565.6774989978 5845574.59759451, 679557.8946084313 5845573.939033381, 679552.9274550014 5845573.774171364, 679534.7060308352 5845573.16939444, 679513.1000804629 5845572.952588318, 679512.5838363415 5845572.992688778, 679512.1972062953 5845573.022682408, 679511.5141380657 5845572.499706825, 679511.3440932081 5845571.593515271, 679511.5101100586 5845565.219845704, 679511.7085787621 5845557.597092847, 679512.8086652856 5845515.407922883, 679513.2934320467 5845503.816952575, 679513.098876753 5845494.604896064, 679512.2380324443 5845494.168376445, 679512.1719038708 5845494.134862584, 679511.5371067727 5845492.881043825, 679511.5997322432 5845491.856397882, 679511.6357265152 5845491.266332903)))",,,2023-04-07,2023-07-02
